Montana Business Search

Business Name or Number,son
,Contains
System Through Date,11/08/2019

Entity Name,Entity Number,Known in Montana As/Alternate Name,Status,Registration Date,Postal Address
JASON WARD,I226344,N/A,Active Good Standing,10/09/2008,"Street Address 1 N CHOTEAU AVE, HARDIN, Montana, 59034, United States Mailing Address"
"PARSONS BEHLE & LATIMER, A PROFESSIONAL CORPORATION",CRA0000120,N/A,Active Good Standing,11/01/2019,"Street Address 110 East Broadway, Suite 206, Missoula, Montana, 59802, United States Mailing Address P.O. Box 7369, Missoula, Montana, 59807, United States"
"ANDERSON REGISTERED AGENTS, INC.",CRA0000122,N/A,Active Good Standing,11/06/2019,"Street Address 1925 Grand Avenue, Suite 127, Billings, Montana, 59102, United States Mailing Address Montana, United States"
"BJORNSON CORPORATE SERVICES, LLC",I328109,N/A,Active Good Standing,06/02/2016,"Street Address 2809 GREAT NORTHERN LOOP #100, MISSOULA, Montana, 59808, United States Mailing Address"
J E LARSON DAVIS,I236690,N/A,Active Good Standing,03/30/2009,"Street Address 2047 N LAST CHANCE GULCH #200, HELENA, Montana, 59601, United States Mailing Address"
Dawson County Implement,A1040194,N/A,"Inactive, Cancelled",03/30/2017,Assumed Business Name,
KNUTSON CONSTRUCTION COMPANY OF MINNESOTA,A037411,N/A,Inactive Revocation,11/19/1993,Assumed Business Name,
Primerica Financial Services / Brenna Pearson,A1040581,N/A,Active Good Standing,04/03/2017,Assumed Business Name,
THOMPSON CONCRETE CONSTRUCTION,A072002,N/A,Inactive Expired,03/24/1999,Assumed Business Name,
JACKSON PERFORMANCE HORSES,A1040922,N/A,Active Good Standing,04/06/2017,Assumed Business Name,
CLJackson,A1041078,N/A,Active Good Standing,04/07/2017,Assumed Business Name,
Knutson Contracting,A1041225,N/A,Active Good Standing,04/07/2017,Assumed Business Name,
B. Thompson Surveyor,A1041360,N/A,Active Good Standing,04/26/2017,Assumed Business Name,
CARSON'S IREPAIR,A236569,N/A,Active Good Standing,03/03/2015,Assumed Business Name,
Huson Land & Cattle,RN1029208,N/A,Expired,12/06/2016,Reserved Name,
Neilson Law,A1041755,N/A,"Inactive, Cancelled",04/14/2017,Assumed Business Name,
A. E. ANDERSON ENTERPRISES,A050715,N/A,Inactive Expired,01/08/1996,Assumed Business Name,
Dean Hiatt Masonry,A1042180,N/A,Active Good Standing,04/17/2017,Assumed Business Name,
KNUDSON ACCOUNTING AND TAX SERVICES,A254944,N/A,Active Good Standing,08/01/2016,Assumed Business Name,
ROBERT JAMISON,A249045,N/A,Active Good Standing,02/26/2016,Assumed Business Name,
JASON JAM GALLERY AND DESIGN,A216400,N/A,Inactive Expired,06/27/2013,Assumed Business Name,
Keri McPherson Photography,A1042312,N/A,Active Good Standing,04/19/2017,Assumed Business Name,
THE SHED AT MIDDLE THOMPSON LAKE,A167682,N/A,Inactive Expired,05/27/2009,Assumed Business Name,
FERGUSON HAY GRINDING,A175433,N/A,Inactive Expired,02/17/2010,Assumed Business Name,
SAPPHIRE PERSONAL CONCIERGE AND ERRAND SERVICE,A141799,N/A,Inactive Expired,02/12/2007,Assumed Business Name,
D & R SONES,A1042451,N/A,Active Good Standing,04/21/2017,Assumed Business Name,
Halverson Construction Company,A1042780,N/A,Inactive Revocation,04/25/2017,Assumed Business Name,
Heart to Hearts personal care aide,A1042859,N/A,Active Good Standing,04/26/2017,Assumed Business Name,
TOTAL MASONRY SERVICES,A054502,N/A,Inactive Expired,06/28/1996,Assumed Business Name,
TEXIE HANSON D.B.A. LOCAL MAID MT.,A1043150,N/A,Active Good Standing,04/28/2017,Assumed Business Name,
WEST PERSONAL HELP,A031975,N/A,Inactive Expired,10/09/1992,Assumed Business Name,
Robison Enterprises,A1043301,N/A,Active Good Standing,05/01/2017,Assumed Business Name,
DAY'S CONSTRUCTION OF THOMPSON FALLS,A138657,N/A,Inactive Expired,11/01/2006,Assumed Business Name,
Fred and Sons Ceramic Tile,A1043514,N/A,Active Good Standing,05/17/2017,Assumed Business Name,
Blair Anderson Rentals,A1043519,N/A,Active Good Standing,05/03/2017,Assumed Business Name,
Willson Brothers Construction,A1043642,N/A,Active Good Standing,05/04/2017,Assumed Business Name,
LuLaRoe Brianna Hilson VIP,A1043996,N/A,Active Good Standing,05/08/2017,Assumed Business Name,
JACKSON STREET PARTNERSHIP,A029527,N/A,Inactive Expired,02/28/1992,Assumed Business Name,
"GOUGH, SHANAHAN, JOHNSON & WATERMAN",A048457,N/A,"Inactive, Cancelled",08/21/1995,Assumed Business Name,
Gunderson Development,A1044442,N/A,Active Good Standing,05/12/2017,Assumed Business Name,
SHIRLEY O. HENDERSON,A024772,N/A,Inactive Expired,11/08/1990,Assumed Business Name,
Ferguson Contracting,A1044624,N/A,Involuntary Dissolution,05/30/2017,Assumed Business Name,
FOUR SEASONS REALTY,A053098,N/A,Inactive Expired,04/22/1996,Assumed Business Name,
Brian Robertson Construction,A1044948,N/A,Active Good Standing,05/17/2017,Assumed Business Name,
SONOLUMA WELLNESS,A1045047,N/A,Active Good Standing,05/18/2017,Assumed Business Name,
Brown and Sons Lawn Care,A1045315,N/A,Active Good Standing,05/23/2017,Assumed Business Name,
J D Masonry,A1045402,N/A,Active Good Standing,05/22/2017,Assumed Business Name,
D & B JOHNSON RANCH,A1045437,N/A,Active Good Standing,05/22/2017,Assumed Business Name,
Iverson Home Repair,A1045513,N/A,Active Good Standing,05/24/2017,Assumed Business Name,
Madison River Rods LLC,A1046116,N/A,Active Good Standing,06/02/2017,Assumed Business Name,
M & SONS CONSTRUCTION,A1046118,N/A,Active Good Standing,06/02/2017,Assumed Business Name,
Helgeson Construction,A1046216,N/A,Active Good Standing,06/05/2017,Assumed Business Name,
AES & SONS CONSTRUCTION,A1046264,N/A,Active Good Standing,06/15/2017,Assumed Business Name,
Larson Diesel,A1046342,N/A,Active Good Standing,05/30/2017,Assumed Business Name,
POLSON STOVE & FIREPLACE,A174780,N/A,Inactive Expired,01/29/2010,Assumed Business Name,
JOHNSON'S FINE CARPENTRY AND BUILDING,A1046938,N/A,"Inactive, Cancelled",06/05/2017,Assumed Business Name,
ZIESON CONSTRUCTION LLC,A1046962,N/A,Inactive Revocation,06/12/2017,Assumed Business Name,
Hanson's Performance,A1047039,N/A,Active Good Standing,06/26/2017,Assumed Business Name,
Thompson Aviation,A1047119,N/A,Active Good Standing,06/07/2017,Assumed Business Name,
Wilsons Handyman Service,A1047179,N/A,Active Good Standing,06/14/2017,Assumed Business Name,
EMERSON POTTERY,A246391,N/A,Active Good Standing,12/14/2015,Assumed Business Name,
Bissinger LLC DBA REAL DEALS ON HOME DECOR #268,A1047368,N/A,Active Good Standing,06/12/2017,Assumed Business Name,
Brennan Richardson,A1047637,N/A,"Inactive, Cancelled",06/19/2017,Assumed Business Name,
2 Brothers Masonry,A1047656,N/A,Active Good Standing,07/14/2017,Assumed Business Name,
JOHNSON GENERAL CONSTRUCTION,A205732,N/A,Inactive Expired,08/03/2012,Assumed Business Name,
COLSON & COLSON CONSTRUCTION CO.,A057730,N/A,Inactive Expired,01/14/1997,Assumed Business Name,
Nielsons Flooring,A1048361,N/A,Active Good Standing,06/26/2017,Assumed Business Name,
MOUNTAIN WEST INSURANCE AGENCY,A003363,N/A,Inactive Expired,11/01/1982,Assumed Business Name,
That's One Hot Cookie,A1048736,N/A,Active Good Standing,07/05/2017,Assumed Business Name,
Sonoma Enterprises,A1049104,N/A,Active Good Standing,07/05/2017,Assumed Business Name,
Kegsmith Masonry,A1049214,N/A,Active Good Standing,07/06/2017,Assumed Business Name,
WIND SONG APIARIES,A168866,N/A,Inactive Expired,07/06/2009,Assumed Business Name,
Madison Riverside Motel & Cottages,A1049521,N/A,Inactive Revocation,07/10/2017,Assumed Business Name,
Madison Riverside Cottages,A1049551,N/A,Inactive Revocation,07/10/2017,Assumed Business Name,
JACKSON CREEK INN,A039136,N/A,Inactive Expired,03/14/1994,Assumed Business Name,
FOUR SEASONS PROPERTY & ANIMAL CARE,A215309,N/A,Inactive Expired,05/20/2013,Assumed Business Name,
LESTER SWANSON,A214989,N/A,Inactive Expired,05/16/2013,Assumed Business Name,
JACKSON A. KUNZ RESIDENTIAL RENOVATION,A200215,N/A,Inactive Expired,03/01/2012,Assumed Business Name,
WILSON WORKS MARKETING,A172719,N/A,Inactive Expired,11/18/2009,Assumed Business Name,
Scott Peterson/ dba Yard Envy,A1050162,N/A,Active Good Standing,08/11/2017,Assumed Business Name,
Lawson Painting Services,A1050311,N/A,Active Good Standing,07/19/2017,Assumed Business Name,
AMUNDSON PLASTER AND PAINT,A198138,N/A,Active Good Standing,01/06/2012,Assumed Business Name,
HANSON INDEPENDENT,A1050732,N/A,Active Good Standing,07/24/2017,Assumed Business Name,
BILLINGS GOLF LESSON JUNIOR ACADEMY,A239248,N/A,Active Good Standing,05/13/2015,Assumed Business Name,
Wilson's Contracting,A1050980,N/A,Active Good Standing,07/26/2017,Assumed Business Name,
MASON MARKETING SERVICES,A015470,N/A,Inactive Expired,10/23/1987,Assumed Business Name,
STAN & SONS PLUMBING & HEATING,A030334,N/A,Inactive Expired,04/30/1992,Assumed Business Name,
CHRIS OLSON CARPENTRY,A209064,N/A,Inactive Expired,11/23/2012,Assumed Business Name,
ENGEBRETSON BROS.,A149153,N/A,Active Good Standing,10/04/2007,Assumed Business Name,
WILSON & WILSON INVESTMENTS,A051706,N/A,Inactive Expired,02/21/1996,Assumed Business Name,
American Bison Center,RN1029933,N/A,Expired,12/14/2016,Reserved Name,
Robinson Wood Group,A1051241,N/A,Active Good Standing,07/31/2017,Assumed Business Name,
ALYSON LENORE DESIGNS,A182061,N/A,Inactive Expired,08/31/2010,Assumed Business Name,
PETERSON KNIVES,A014343,N/A,Inactive Expired,06/01/1987,Assumed Business Name,
JASON'S DRYWALL,A149920,N/A,Inactive Expired,10/19/2007,Assumed Business Name,
SONJA DIEMERT VIDEO PRODUCTIONS,A016205,N/A,Inactive Expired,01/29/1988,Assumed Business Name,
BRYNN NELSON,A201509,N/A,Inactive Expired,04/17/2012,Assumed Business Name,
Thompson Distributing,A1051612,N/A,Active Good Standing,08/02/2017,Assumed Business Name,
The Golden Rectangle Drywall,A1051653,N/A,Active Good Standing,08/02/2017,Assumed Business Name,
Primerica Financial Services/George R. Ruliffson,A1051689,N/A,Active Good Standing,08/03/2017,Assumed Business Name,
Acheson Enterprises,A1051709,N/A,Active Good Standing,08/03/2017,Assumed Business Name,
PERSONAL TOUCH,A001898,N/A,Inactive Expired,08/19/1981,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/JACOB A. ROBISON,A142100,N/A,Inactive Expired,02/21/2007,Assumed Business Name,
STOCK PHOTOS ON-DEMAND,A097393,N/A,Inactive Expired,09/10/2002,Assumed Business Name,
Winson's Wires,A1051922,N/A,Active Good Standing,08/07/2017,Assumed Business Name,
JOHNSON & NELSON BUILDERS,A109460,N/A,Inactive Expired,01/26/2004,Assumed Business Name,
Wilson Building & Remodel,A1052099,N/A,Active Good Standing,08/08/2017,Assumed Business Name,
Nicholson Bookkeeping Services,A1052137,N/A,Active Good Standing,08/08/2017,Assumed Business Name,
ALLISON SOLOMON CONSULTING,A178409,N/A,Inactive Expired,05/13/2010,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES - MILT EVENSON,A071050,N/A,Inactive Expired,01/06/1999,Assumed Business Name,
"Shelly""s All Season painting",A1052488,N/A,"Inactive, Cancelled",08/11/2017,Assumed Business Name,
PAULSON PREMIUM SEED AND CONDITIONING,A086011,N/A,Inactive Expired,03/23/2001,Assumed Business Name,
PERSONAL TOUCH TOURS,A014853,N/A,Inactive Expired,08/03/1987,Assumed Business Name,
Pearson Online & Blended Learning K-12 USA,A1053181,N/A,Active Good Standing,08/18/2017,Assumed Business Name,
ALL ROCK MASONARY,A202402,N/A,Inactive Expired,04/27/2012,Assumed Business Name,
DWYER AND SONS CONSTRUCTION,A115593,N/A,Inactive Expired,09/08/2004,Assumed Business Name,
Jake Nelson Construction,A1053473,N/A,Active Good Standing,08/21/2017,Assumed Business Name,
KIRCHER & SON GENERAL CONTRACTING,A134148,N/A,Inactive Expired,06/01/2006,Assumed Business Name,
HUFFINE & OLSON,A102679,N/A,Inactive Expired,04/21/2003,Assumed Business Name,
Pearson Construction,A1053628,N/A,Active Good Standing,08/22/2017,Assumed Business Name,
Polson All-Star Auto Repair and Service,A1053822,N/A,"Inactive, Cancelled",08/23/2017,Assumed Business Name,
Specialists On Call Physicians,A1053823,N/A,Active Good Standing,08/23/2017,Assumed Business Name,
Gunderson Ranch,A1053847,N/A,Active Good Standing,08/23/2017,Assumed Business Name,
Sonya May Photography,A1053901,N/A,Active Good Standing,08/28/2017,Assumed Business Name,
Schuster Masonry,A1054034,N/A,Active Good Standing,08/24/2017,Assumed Business Name,
MADISON RIVER LOOKOUT,A213999,N/A,Active Good Standing,04/12/2013,Assumed Business Name,
PMG POLSON,A192131,N/A,Active Good Standing,06/20/2011,Assumed Business Name,
HANDRICH MASONRY,A147529,N/A,"Inactive, Cancelled",08/03/2007,Assumed Business Name,
JB & Son Trucking,A1054102,N/A,Active Good Standing,08/25/2017,Assumed Business Name,
JACKSON STREET PARTNERSHIP,A095616,N/A,Inactive Expired,06/20/2002,Assumed Business Name,
POLSON FITNESS,A167092,N/A,Involuntary Dissolution,05/07/2009,Assumed Business Name,
ANDERSON RESEARCH LABORATORY,A233418,N/A,Active Pending Expiration,12/01/2014,Assumed Business Name,
SON RISE CLEANING & PAINTING,A132575,N/A,Inactive Expired,04/12/2006,Assumed Business Name,
Charlotte Johnson Cleaning,A1054433,N/A,Active Good Standing,08/29/2017,Assumed Business Name,
Mike O. Anderson Trucking,A1054713,N/A,Active Good Standing,08/30/2017,Assumed Business Name,
KELLY S ANDERSON EXCAVATION,A1054722,N/A,Active Good Standing,08/30/2017,Assumed Business Name,
Mitchell and Sons Trucking,A1054772,N/A,Active Good Standing,08/30/2017,Assumed Business Name,
Jason Lee,A1054816,N/A,Involuntary Dissolution,08/31/2017,Assumed Business Name,
HOT CLOTHES ON I.C.E.,A022656,N/A,Inactive Expired,03/15/1990,Assumed Business Name,
elkhorn tile and masonry,A1054978,N/A,Active Good Standing,09/01/2017,Assumed Business Name,
PAUL A. BENSON-LOGSMITH,A078449,N/A,Inactive Expired,02/17/2000,Assumed Business Name,
ALLISON DESIGN,A156702,N/A,Inactive Expired,05/16/2008,Assumed Business Name,
Albertson Construction & Improvements,A1055083,N/A,Active Good Standing,09/04/2017,Assumed Business Name,
ROCKSTAR MASONRY,A125903,N/A,Active Good Standing,09/02/2005,Assumed Business Name,
TIMNDEB EVENSON TRUCKING,A1055183,N/A,Active Good Standing,09/05/2017,Assumed Business Name,
Gary Isaacson Construction,A1055204,N/A,Active Good Standing,09/05/2017,Assumed Business Name,
MACPHERSON CONSTRUCTION,A148124,N/A,Inactive Expired,08/21/2007,Assumed Business Name,
LOSSON'S TAX SERVICE,A159724,N/A,Inactive Expired,08/28/2008,Assumed Business Name,
Jason Smith Construction,A1055601,N/A,Active Good Standing,09/07/2017,Assumed Business Name,
WAYNE OLSON AUCTION SERVICE,A132864,N/A,Inactive Expired,04/20/2006,Assumed Business Name,
Jason Shepard Construction,A1055764,N/A,Active Good Standing,09/11/2017,Assumed Business Name,
All Season Property Services,A1055778,N/A,"Inactive, Cancelled",09/09/2017,Assumed Business Name,
OLSON BROS FARM,A054024,N/A,Inactive Expired,06/06/1996,Assumed Business Name,
Vincent Erickson Creations,A1055876,N/A,Active Good Standing,09/11/2017,Assumed Business Name,
Thompson Tile,A1055969,N/A,Active Good Standing,09/12/2017,Assumed Business Name,
Nelson Personnel,A1055982,N/A,"Inactive, Cancelled",09/12/2017,Assumed Business Name,
CYE NELSON CYE,A1056037,N/A,Active Good Standing,09/12/2017,Assumed Business Name,
AuroraBirthSong,A1056184,N/A,Active Good Standing,09/13/2017,Assumed Business Name,
Jason O'Neil Photo,A1056196,N/A,Active Good Standing,09/13/2017,Assumed Business Name,
Bison Creek Excavating,A1056254,N/A,Active Good Standing,09/13/2017,Assumed Business Name,
QUALITY PERSONAL CARE,A065290,N/A,"Inactive, Cancelled",02/25/1998,Assumed Business Name,
Paulson Real Estate,A1056653,N/A,Active Good Standing,09/18/2017,Assumed Business Name,
PINTLER COOKIES ON BROADWAY,A034587,N/A,"Inactive, Cancelled",04/22/1993,Assumed Business Name,
GIT-ER-DONE Done Masonry,A1056836,N/A,Active Good Standing,09/19/2017,Assumed Business Name,
Be Transformed,A1056862,N/A,Active Good Standing,09/19/2017,Assumed Business Name,
DAVEY JOHNSON PHOTOGRAPHY,A198810,N/A,Inactive Expired,01/25/2012,Assumed Business Name,
Jason Berg Photography,A1056962,N/A,Active Good Standing,09/20/2017,Assumed Business Name,
REAL DEALS ON HOME DECOR #174,A177874,N/A,Inactive Expired,04/26/2010,Assumed Business Name,
GEORGE WM. REITER & SONS,A001323,N/A,Inactive Expired,02/10/1981,Assumed Business Name,
MUNSON CREEK ELECTRIC,A026706,N/A,"Inactive, Cancelled",05/23/1991,Assumed Business Name,
BRYCE BENSON CONSTRUCTION,A1057158,N/A,Active Good Standing,09/22/2017,Assumed Business Name,
HIGH COUNTRY MASONRY AND TILE,A108697,N/A,Inactive Expired,12/24/2003,Assumed Business Name,
SEASONS CLOTHING AND ACCESSORIES,A116763,N/A,Inactive Expired,10/19/2004,Assumed Business Name,
TEXAS BBQ,A127709,N/A,Inactive Expired,11/09/2005,Assumed Business Name,
Laughlin and Son Drywall,A1057629,N/A,Active Good Standing,09/27/2017,Assumed Business Name,
Tolson Custom Interiors,A1057683,N/A,Active Good Standing,09/27/2017,Assumed Business Name,
HANSON LUMBER 2.0,A225786,N/A,Inactive Expired,04/11/2014,Assumed Business Name,
All Season Window Cleaning,A1057685,N/A,Active Good Standing,09/28/2017,Assumed Business Name,
All Season Professional Window Cleaning,A1057686,N/A,Active Good Standing,09/28/2017,Assumed Business Name,
Sons of Norway,A1057798,N/A,Active Good Standing,09/28/2017,Assumed Business Name,
Tricia Hanson Photography,A1057821,N/A,Active Good Standing,09/29/2017,Assumed Business Name,
Wilson Finishes,A1057866,N/A,"Inactive, Cancelled",09/29/2017,Assumed Business Name,
PERSONAL P.I.,A110407,N/A,Inactive Expired,03/09/2004,Assumed Business Name,
cliff persons enterprises,A1058127,N/A,Active Good Standing,10/03/2017,Assumed Business Name,
"Shari B Johnson, CPA",A1058209,N/A,Active Good Standing,10/03/2017,Assumed Business Name,
SEASON'S FRIENDLY EATING #178,A003783,N/A,"Inactive, Cancelled",02/14/1983,Assumed Business Name,
All Seasons Storage,A1058541,N/A,Active Good Standing,10/06/2017,Assumed Business Name,
Christian & Samson,A1058637,N/A,Active Good Standing,10/09/2017,Assumed Business Name,
BAGELS ON BROADWAY,A062485,N/A,Involuntary Dissolution,09/24/1997,Assumed Business Name,
Bob Carlson Consulting,A1058722,N/A,Active Good Standing,10/10/2017,Assumed Business Name,
SCOTT WILSON PAINTING,A236062,N/A,Active Good Standing,02/19/2015,Assumed Business Name,
Robert Martin Masonry,A1059117,N/A,Active Good Standing,10/12/2017,Assumed Business Name,
Johnson Enterprise West,A1059133,N/A,Active Good Standing,10/12/2017,Assumed Business Name,
TOWN OF HOBSON,A185061,N/A,Inactive Expired,12/03/2010,Assumed Business Name,
STORFA & SON,A036343,N/A,Inactive Expired,09/01/1993,Assumed Business Name,
ANDERSONS' HEATING,A021704,N/A,Inactive Expired,12/04/1989,Assumed Business Name,
Sanderson Drywall,A1059275,N/A,Active Good Standing,10/16/2017,Assumed Business Name,
Brust and Sons Construction,A1059292,N/A,"Inactive, Cancelled",10/15/2017,Assumed Business Name,
Brust and Sons Construction,A1059513,N/A,Active Good Standing,10/17/2017,Assumed Business Name,
Swanson Contracting,A1059516,N/A,Active Good Standing,10/17/2017,Assumed Business Name,
NELSON ARCHITECT OF ILLINOIS PROFESSIONAL CORPORATION,A1059536,N/A,Active Good Standing,10/17/2017,Assumed Business Name,
Resort Vacations Online,A1059600,N/A,Active Good Standing,10/17/2017,Assumed Business Name,
JOHNSON'S OCEAN HARVEST SEAFOODS,A002095,N/A,Inactive Expired,10/23/1981,Assumed Business Name,
Wilkinson Design,A1059726,N/A,Active Good Standing,10/18/2017,Assumed Business Name,
A. L. WILLIAMS/CLYDE L. JACOBSON OFFICE,A015980,N/A,Inactive Expired,01/05/1988,Assumed Business Name,
Co-op Groceries Online,A1059803,N/A,Active Good Standing,10/19/2017,Assumed Business Name,
Mark Gibson Construction,A1060017,N/A,Active Good Standing,10/21/2017,Assumed Business Name,
Benson Media,A1060041,N/A,Active Good Standing,10/22/2017,Assumed Business Name,
Dougs Online & Estate Sales,A1060057,N/A,Active Good Standing,10/23/2017,Assumed Business Name,
DAEMON & DENNISON PROPERTIES,A1060151,N/A,Active Good Standing,10/23/2017,Assumed Business Name,
COMPLETE FINANCIAL LOANS,A062644,N/A,Inactive Expired,09/25/1997,Assumed Business Name,
Hudson's Bar,A1060418,N/A,Active Good Standing,01/03/2018,Assumed Business Name,
John Nelson Construction,A1060757,N/A,Active Good Standing,10/30/2017,Assumed Business Name,
"PRIMERICA FINANCIAL SERVICES/WESLEY P. JOHNSON, JR",A174528,N/A,Inactive Expired,01/22/2010,Assumed Business Name,
Car Werks One,A1060942,N/A,Active Good Standing,10/31/2017,Assumed Business Name,
GUSTAFSON LAW OFFICES,A1060960,N/A,Active Good Standing,10/31/2017,Assumed Business Name,
SONIC CROWN,A171716,N/A,Inactive Expired,10/20/2009,Assumed Business Name,
JEFFERSON VALLEY TRADING & PAWN,A048262,N/A,Inactive Expired,08/08/1995,Assumed Business Name,
"RANDALL & PETERSON, P. C.",A1061091,N/A,Active Good Standing,11/01/2017,Assumed Business Name,
Madison River Fly Fishers Club,A1061144,N/A,Active Good Standing,11/02/2017,Assumed Business Name,
J.C. SMITH & SONS CUSTOM WOOD PRODUCTS,A039788,N/A,Inactive Expired,04/14/1994,Assumed Business Name,
Brad Parsons Trucking,A1061258,N/A,Active Good Standing,11/03/2017,Assumed Business Name,
Jaynee Parsons CPA,A1061259,N/A,Active Good Standing,11/03/2017,Assumed Business Name,
Primerica financial services/lena thompson,A1061299,N/A,Active Good Standing,11/03/2017,Assumed Business Name,
BLACK BISON ENERGY,A200614,N/A,Active Good Standing,03/12/2012,Assumed Business Name,
PERSONAL INJURY LAW OFFICES,A021178,N/A,Inactive Expired,10/03/1989,Assumed Business Name,
WEAVERS ON WEDNESDAY W.O.W.,A023240,N/A,Inactive Expired,05/09/1990,Assumed Business Name,
